식당명,주소,콜키지,병수제한,잔지원,전화번호,위도,경도,마지막확인
차돌풍,인천광역시 부평구 시장로30번길 11,무료,,N,031-8015-9193,37.4932205,126.7263476,
신씨고집,경기도 수원시 영통구 매탄로100번길 7-10 거산빌딩 2층,무료,,N,031-212-8850,37.2597016,127.0440427,
경인로570숯불구이,경기도 부천시 소사구 경인로 570,무료,,N,032-710-7555,37.486499,126.8177389,
늘목,경기도 고양시 덕양구 화신로260번길 36 1층 104호 늘목식당,무료,,N,052-998-1098,37.6320441,126.8329457,
주나규,서울특별시 송파구 올림픽로32길 39 주나규,무료,,N,010-9880-3116,37.513091,127.1108371,
삼목등심,서울특별시 동작구 흑석로13길 9 1층,무료,,N,02-822-3035,37.5091214,126.9606544,
육일장,경기도 수원시 권선구 호매실로218번길 122 1층 104호，105호，106호，107호,무료,,N,031-232-2046,37.266218,126.961505,
파브리카 충북대점,충청북도 청주시 서원구 1순환로 682 메가박스 청주사창 2층,무료,,N,043-277-8068,36.6327702,127.4605722,
바코,서울특별시 강서구 마곡동로10길 23 대방디엠시티 2차 106호,무료,,N,02-797-2047,37.5684015,126.8395157,
시드니양갈비 인천송도점,인천광역시 연수구 컨벤시아대로 81 2층 214，215호,무료,2,N,032-833-7101,37.3949167,126.650172,
몽뜰 동래점,부산광역시 동래구 중앙대로1381번길 33 1층 몽뜰,무료,,N,051-556-5999,35.2108581,129.0761492,
가마메시야 울림,서울특별시 강서구 마곡중앙로 76 힐스테이트에코 마곡역 1층 4번게이트 125~126호,무료,,N,010-9191-5745,37.5603074,126.8274198,
돈블랑 여의도점,서울특별시 영등포구 여의대방로67길 11 2층,무료,,N,02-784-9293,37.5198028,126.9302926,
상우가든,서울특별시 중구 을지로12길 28 제이매크로타워 B01,무료,,N,02-2268-1012,37.5650719,126.9906865,
북경성반점,경기도 성남시 수정구 복정로 90 1층,무료,,N,031-722-3255,37.4609702,127.1269404,
명품한우 상상,서울특별시 서초구 신반포로45길 53 한서빌리지1층101호,무료,,N,02-3442-4401,37.5123303,127.0174843,
국고집 선릉점,서울특별시 강남구 선릉로86길 30,무료,,N,02-557-8894,37.5036843,127.0522422,
오리지널팬케이크하우스 잠실점,서울특별시 송파구 잠실로 209 B1층,무료,,N,02-422-7481,37.513871,127.1063644,
아키아키,서울특별시 종로구 창덕궁1길 42 2층,무료,,N,043-262-2113,37.5794333,126.9868677,
부촌,서울특별시 종로구 종로 200-12,무료,,N,031-377-1501,37.5704109,126.9999166,
신비갈비살,서울특별시 강남구 강남대로158길 15 1층,무료,,N,02-543-5992,37.5190656,127.0201825,
반포등심,서울특별시 강남구 언주로148길 14 청호불교문화원,무료,,N,02-542-5469,37.520738,127.036489,
와세다야 이촌점,서울특별시 용산구 이촌로88길 3 점보아파트,무료,,N,02-796-0608,37.5182306,126.9787885,
우교당,경기도 수원시 영통구 청명남로12번길 9 1층,무료,,N,,37.2508731,127.0746171,
페피스,경기도 고양시 일산동구 일산로358번길 39 1층,무료,,N,,37.6680913,126.7847563,
고기랑,서울특별시 서대문구 연세로5다길 16 1층 고기랑,무료,,N,041-358-2006,37.5565786,126.9345959,
종각한우,서울특별시 종로구 종로9길 8 종각한우,무료,,N,02-733-5613,37.5705652,126.9843508,
일피오레,서울특별시 강남구 도곡로 175 202호,무료,,N,063-223-1454,37.4919894,127.0386275,
제주이와이,제주특별자치도 제주시 애월읍 하귀로 4,무료,,N,010-7109-9104,33.479627,126.397686,
바랗,서울특별시 강남구 도산대로 309 삼공빌딩 지하1층,무료,,N,02-542-8892,37.5222831,127.0352032,
라베리타(La Verita),서울특별시 마포구 포은로 78 2층,무료,,N,042-369-9645,37.5540265,126.9056737,
우미가,경기도 수원시 영통구 덕영대로1556번길 16 D동 168，169호,무료,,N,051-751-9293,37.2449658,127.0601147,
창고43 마곡점,서울특별시 강서구 공항대로 236 쿠쿠마곡빌딩 2층,무료,,N,02-2661-4003,37.5586172,126.8336311,
보라초,경기도 용인시 기흥구 금화로105번길 33 보라초등학교,무료,,N,02-3144-0966,37.2639331,127.107175,
금돈산,경기도 수원시 장안구 경수대로927번길 36 1층,무료,,N,031-246-9295,37.3004684,127.0073859,
육갑식당 대치점,서울특별시 강남구 도곡로 522 삼현빌딩 1층,무료,,N,02-556-9282,37.4995386,127.0635815,
JS가든 잠원점,서울특별시 서초구 잠원로4길 33-2 스타빌딩 B1F,무료,,N,02-595-1221,37.5128739,127.0108689,
삼정하누 본점,서울특별시 강남구 봉은사로26길 12 1층 삼정하누,무료,,N,02-501-3834,37.5061179,127.0331541,
일로집,서울특별시 강남구 선릉로82길 8 1층,무료,,N,050-7458-1510,37.5024475,127.0506908,
시골집우렁이쌈밥,경기도 수원시 팔달구 행궁로84번길 10-8,무료,,N,031-241-3770,37.2753249,127.014929,
동백섬횟집,부산광역시 해운대구 해운대해변로209번나길 17 우동 근생,무료,,N,051-741-3888,35.1604281,129.1546366,
하누비노 서현점,경기도 성남시 분당구 황새울로 314 유니퀘스트사옥 1층,무료,,N,031-709-2192,37.384487,127.1207299,
육감,서울특별시 종로구 청계천로 35 지하1층 일부호,무료,,N,02-584-8008,37.5693421,126.9813949,
우주,서울특별시 중구 세종대로 76 2， 3， 4층,무료,,N,02-595-1838,37.5629076,126.9768412,
좋은고기 삼산점,울산광역시 남구 화합로194번길 24,무료,,N,,35.541748,129.3422402,
고방채,서울특별시 영등포구 여의대방로65길 20 1층 고방채,무료,,N,,37.5201437,126.9294952,
오네스타키친,서울특별시 영등포구 여의대방로65길 17,무료,,N,070-8754-3517,37.519899,126.9291907,
투뿔나인,서울특별시 서초구 반포대로26길 70 1층,무료,,N,02-588-8692,37.4914137,127.0128929,
우봉,서울특별시 중구 세종대로20길 23 원창빌딩 512호,무료,,N,051-746-9256,37.5671225,126.9787094,
해운대암소갈비집,부산광역시 해운대구 해운대해변로 333 해운대암소갈비집,무료,,N,051-746-0033,35.1632313,129.1664355,
진성관,경기도 김포시 돌문로 50-6 두손프라자 2층,무료,,N,031-997-0306,37.6196804,126.7179248,
풍천가,서울특별시 강남구 도산대로56길 7,무료,,N,,37.5226278,127.04032,
참치의미,서울특별시 강동구 올림픽로48길 28 건창빌딩,무료,,N,02-479-2604,37.5288817,127.1215801,
진1926 하남미사점,경기도 하남시 미사대로 520 현대지식산업센터 한강미사 2차 D동 2층 242호,무료,,N,010-3310-9641,37.5585126,127.2041407,
우아하게,서울특별시 마포구 동교로 185 1층 우아하게,무료,,N,02-336-7883,37.5570525,126.9218227,
임가네,서울특별시 성동구 마장로37길 35-1 2층,무료,,N,033-262-5245,37.5688041,127.0406209,
혜화도담,서울특별시 종로구 대명1길 16-6 혜화도담,무료,,N,02-744-9850,37.5829844,127.0004867,
주신의 식탁,서울특별시 마포구 토정로 262 1층 주신의 식탁,무료,,N,02-6954-0079,37.5428564,126.9390592,
고기온도,서울특별시 종로구 삼일대로15길 21 1층 ondo,무료,,N,070-7543-5428,37.5687931,126.9862618,
돈블랑 광교역점,경기도 수원시 영통구 대학로 60,무료,,N,031-215-8295,37.3007151,127.0459278,
스무날,대전광역시 대덕구 한남로12번길 47 2층,무료,,N,,36.3523978,127.4246561,
참치열전 2호점,대구광역시 동구 화랑로25길 3 D동 1층 7호,무료,,N,,35.8745345,128.6400822,
사유의서재 남산,서울특별시 중구 퇴계로20길 13,무료,,N,,37.5596784,126.9858804,
우미돈,서울특별시 강남구 테헤란로33길 3-12 1층 우미돈 블랙 역삼점,무료,,N,02-6956-0333,37.5018421,127.0385457,
먼데이블루스 성내점,서울특별시 강동구 성내로6길 14-13 먼데이블루스 성내점,무료,,N,02-485-0542,37.5295866,127.1221172,
정인면옥,서울특별시 영등포구 국회대로76길 10 기독교침례회총회빌딩 1층,무료,,N,02-2683-2615,37.5306331,126.9217518,
육화몽 서현점,경기도 성남시 분당구 황새울로335번길 5 엔타운빌딩 1층 육화몽 서현점,무료,,N,031-696-1292,37.3861195,127.1218425,
꼬모도,서울특별시 강남구 테헤란로13길 18 우진빌딩 2층,무료,,N,051-245-5599,37.5009026,127.03228,
누룩골,인천광역시 계양구 경명대로 985,무료,,N,031-754-4155,37.5442763,126.7164408,
보리네생고깃간 시흥목감점,경기도 시흥시 마산로 104 2층,무료,,N,031-8042-6992,37.3707342,126.8582525,
하쯔호,서울특별시 영등포구 여의동로 213 금호리첸시아 B1F,무료,1,N,02-780-1634,37.518619,126.9396265,
비플리끄(Beflique),서울특별시 강남구 도산대로59길 16 4층,무료,,N,02-544-5288,37.5247777,127.0423927,
명인집 근대역사관점,전라남도 목포시 해안로173번길 45 0,무료,,N,061-244-8308,34.7863377,126.3818312,
풍로옥,울산광역시 남구 돋질로239번길 6,무료,,N,052-266-0210,35.5436416,129.3310295,
돈블랑 석촌호수점,서울특별시 송파구 석촌호수로 296,무료,,N,02-423-8400,37.511439,127.1077289,
에이컷스테이크 올림픽공원점,서울특별시 강동구 강동대로 187 파크뷰캐슬 2층,무료,,N,02-482-8050,37.5248294,127.1273418,
동하수산,경기도 고양시 덕양구 무원로 2 예일센스빌1차,무료,,N,031-970-3456,37.6129751,126.8325804,
복성각 마포본점,서울특별시 마포구 마포대로 63-8 삼창주택 지하 1층 복성각， 삼창 프라자 지하상가 - 복성각 -공덕역 1번 출구 뚜레주르 끼고 돌아서 오시면동서식품 뒷편 삼창프라자 지하상,무료,,N,02-703-3700,37.5420105,126.9478369,
진대감,서울특별시 중구 남대문로1길 57,무료,,N,02-596-0715,37.5635461,126.9774769,
송추가마골 인 어반 판교점,경기도 성남시 분당구 판교역로 145 알파리움 라스트리트 2동 2층 송추가마골 인어반,무료,,N,031-705-8504,37.3942932,127.1093137,
117파크,서울특별시 종로구 경희궁1길 16,무료,,N,02-735-0117,37.571689,126.970676,
코우,서울특별시 마포구 월드컵북로6길 88 1층,무료,,N,064-739-0789,37.5600961,126.9227561,
진대감 도곡점,서울특별시 강남구 남부순환로 2722 삼원빌딩 1층,무료,,N,02-529-1141,37.4855909,127.0437506,
달빛화로,서울특별시 강남구 봉은사로30길 78 3층,무료,,N,031-8003-1818,37.5025134,127.0370325,
화포식당 상암점,서울특별시 마포구 월드컵북로54길 17 사보이시티 DMC 2층 215호 화포식당,무료,2,N,02-6403-3335,37.5810585,126.8887065,
창고43 광주상무점,광주광역시 서구 상무시민로 129,무료,,N,062-383-4003,35.1554772,126.8532874,
시드니램1901,경기도 광명시 밤일로 8 1층~3층,무료,,N,02-897-6400,37.4520028,126.8636191,
라포레 트라토리아,서울특별시 서초구 서초중앙로 188 아크로비스타 상가 A동 로비층 111호,무료,,N,02-591-0999,37.4989804,127.0128201,
소꿉,서울특별시 용산구 장문로 147 나성빌딩 2층,무료,1,N,010-3430-8587,37.5283473,127.0054416,
오스테리아 워모잡(Uomojob),경기도 성남시 분당구 판교공원로2길 40-1 1층,무료,,N,031-701-9541,37.389703,127.0938597,
최우영수산 영등포점,서울특별시 영등포구 영등포로 161 당산동1가1층 최우영수산,무료,,N,,37.5210133,126.8994669,
대도식당 삼성점,서울특별시 강남구 삼성로 545 대도빌딩 1층 2층 3층,무료,,N,02-561-2283,37.5102305,127.0544988,
친구네,서울특별시 종로구 자하문로1길 32,무료,,N,02-472-1511,37.5765358,126.9706401,
푸에르코 여의도점,서울특별시 영등포구 국제금융로2길 32 파이낸스타워 4층 402호 푸에르코,무료,,N,02-6224-8292,37.5238818,126.924138,
헤이다이닝,울산광역시 남구 돋질로312번길 7 헤이다이닝,무료,,N,070-8777-7776,35.5428274,129.338941,
왕게수산,서울특별시 중구 다산로 203-1 1층,무료,,N,02-3432-1777,37.5615851,127.0143129,
동진참치,경기도 수원시 영통구 대학1로58번길 17,무료,,N,031-212-3423,37.2987263,127.0456204,
크래버대게나라 판교점,경기도 성남시 분당구 판교역로 178 서건타워 13층 크래버대게나라 판교점,무료,,N,031-8016-5593,37.3965995,127.1099884,
화랑해물,서울특별시 마포구 마포대로4나길 12,무료,,N,010-4892-8249,37.5384594,126.9461546,
초선과여포,서울특별시 서초구 서초대로78길 44 2층 201호,무료,,N,032-554-0990,37.4938971,127.0285054,
스시미니,경기도 성남시 중원구 산성대로 470 1층,무료,,N,031-733-1256,37.4535076,127.1610515,
수영동우담,부산광역시 수영구 수영로702번길 41-1,무료,,N,051-754-0284,35.1669799,129.1177013,
까슈,서울특별시 성북구 보문로34길 72-5,무료,,N,032-473-2002,37.5910075,127.0195556,
십삼대,인천광역시 남동구 인주대로623번길 32 1층,무료,,N,032-426-0013,37.451409,126.7065835,
세겹,서울특별시 마포구 토정로33길 5 1층,무료,,N,,37.5412205,126.9424634,
진성한우촌,서울특별시 영등포구 문래로4길 20 현대1차아파트상가동 105호,무료,,N,02-2671-6451,37.5191092,126.8832892,
돈사향,제주특별자치도 서귀포시 천지로 20 돈사향 올레시장본점,무료,,N,064-763-6900,33.249322,126.5609003,
어느멋진날,서울특별시 종로구 창경궁로 231,무료,,N,010-6380-9582,37.5826258,126.9980486,
다채 동대문점,서울특별시 중구 마장로1가길 23 DWP 9층,무료,,N,02-2231-3392,37.5689838,127.013555,
정진식당,서울특별시 양천구 신정중앙로 94,무료,,N,02-2602-3378,37.5262839,126.8620159,
무대리식당,경기도 수원시 팔달구 수성로157번길 49-16 1층,무료,,N,031-271-7707,37.2881937,126.988458,
돈블랑 송도트리플스트리트점,인천광역시 연수구 송도과학로16번길 33-3,무료,,N,032-310-9841,37.3795171,126.6609351,
마블링,서울특별시 영등포구 63로 32 라이프콤비빌딩 104호,무료,,N,02-2659-9292,37.5189363,126.9390518,
남산도담,서울특별시 중구 수표로6길 37-1 남산도담,무료,,N,02-2272-8926,37.562849,126.9925007,
한우등심전문돌판구이,인천광역시 연수구 컨벤시아대로 80 한우등심전문돌판구이,무료,,N,02-336-8593,37.3953068,126.6489583,
양가곱창,서울특별시 종로구 종로 19 르메이에르종로타운 3층,무료,,N,02-722-9295,37.5707496,126.9795892,
남포면옥,서울특별시 중구 을지로3길 24,무료,,N,02-777-3131,37.5671396,126.9815998,
향초초밥,경기도 고양시 일산서구 호수로856번길 8-17 1층 향초초밥,무료,,N,031-914-5007,37.670676,126.7490342,
핑하오,서울특별시 마포구 마포대로 45,무료,,N,02-3274-1188,37.540468,126.946381,
한우대가,경기도 광주시 광남안로 47,무료,,N,031-756-4272,37.3905705,127.2198418,
불꽃상회 영통점,경기도 수원시 영통구 청명남로34번길 21 영통테라스가든주차빌딩 213호,무료,,N,031-273-9888,37.2522039,127.0770114,
더폼비스트로(The Form Bistro),경상북도 경주시 태종로 797,무료,,N,054-771-3663,35.8411493,129.2150003,
계절포차 동해,서울특별시 영등포구 영등포로 237 계절포차동해,무료,,N,02-2672-3383,37.5195036,126.9078771,
양연화로,서울특별시 종로구 삼일대로17길 18 종로맛집 양연화로 종로직영점,무료,,N,,37.5692523,126.9865146,
소울한우,서울특별시 마포구 삼개로 16 신관 1층,무료,,N,,37.5393104,126.9474219,
이태리식당 당감,부산광역시 부산진구 당감로34번길 13 . 1층,무료,,N,051-949-8931,35.164974,129.0399605,
바른고기 정육점 강남점,서울특별시 강남구 테헤란로 110 지하1층,무료,,N,02-501-7020,37.4980858,127.0294592,
260도 부천점,경기도 부천시 원미구 신흥로 178,무료,,N,032-655-0260,37.5000925,126.7777623,
덕취원 다이닝라운지,강원특별자치도 동해시 동굴로 65 덕취원 다이닝라운지,무료,,N,033-535-0181,37.5181206,129.111197,
효탄,부산광역시 사하구 승학로2번길 41 5층 효탄,무료,,N,053-746-3555,35.1052449,128.9711198,
이야기둘,경기도 성남시 분당구 판교로319번길 13 113호,무료,,N,031-607-8092,37.4038497,127.1091349,
송추가마골 인 어반 영등포점,서울특별시 영등포구 문래로28길 25 영시티 S타워 로비층,무료,,N,02-6256-0150,37.5156919,126.8998721,
진진진 석쇠한판,경기도 부천시 원미구 소향로37번길 31-7,무료,,N,02-412-8082,37.5046832,126.7516967,
육갑식당 잠원직영점,서울특별시 서초구 잠원로 46-3 이디엘,무료,,N,02-598-9292,37.5088604,127.0086127,
모닥,경기도 남양주시 화도읍 북한강로 1138-1 모닥,무료,,N,053-653-1002,37.615481,127.3434417,
돈블랑 청담스퀘어점,서울특별시 강남구 도산대로 420 청담스퀘어 B동 4층,무료,,N,02-6407-7474,37.5228741,127.0420617,
배꼽집 문정점,서울특별시 송파구 법원로11길 7 문정현대지식산업센터 C동 지하2층 B215호,무료,,N,02-6956-1005,37.485283,127.1194043,
이경식당,경상북도 봉화군 춘양면 의양로2길 10-3,무료,,N,010-9494-9285,36.9376822,128.9141774,
우담,서울특별시 용산구 후암로 93,무료,,N,031-239-9232,37.5533718,126.9751021,
마포숯불갈비,서울특별시 강남구 도산대로 232 마포숯불갈비,무료,,N,02-516-1522,37.5208181,127.0328433,
조리인,서울특별시 강남구 도산대로53길 16 3층,무료,,N,02-517-3355,37.5241844,127.0385772,
돈미가,경기도 부천시 소사구 경인로536번길 49 1층 점포2호,무료,,N,031-216-9293,37.4843749,126.8164337,
앞바당,제주특별자치도 서귀포시 보목로70번길 8,무료,,N,064-732-9310,33.2385475,126.6026037,
수원,경기도 수원시 팔달구 효원로 241 수원시청,무료,,N,031-255-5526,37.2634759,127.028646,
스시메이진 구로점,서울특별시 구로구 디지털로 300 지밸리비즈플라자,무료,,N,02-6344-3782,37.4851397,126.8965171,
해룡마라룽샤,서울특별시 광진구 동일로18길 36 도시엔 1층,무료,,N,02-462-4009,37.539461,127.0647643,
명랑회관,서울특별시 서초구 서초대로50길 40 자연빌딩 1층,무료,,N,02-565-2662,37.4914909,127.0131476,
송추가마골 인 어반 광화문점,서울특별시 종로구 새문안로5길 31 센터포인트 광화문,무료,,N,02-6031-6210,37.5730367,126.9743603,
오양회참치,서울특별시 중구 세종대로21길 49 오양회참치,무료,,N,02-736-1001,37.568822,126.9758345,
마장동한우촌,서울특별시 성동구 마장로35길 68 마축일축산물시장,무료,,N,031-564-7777,37.570819,127.041349,
이여곰탕 역삼점,서울특별시 강남구 논현로85길 23 영원빌딩 1층,무료,,N,02-567-2508,37.498857,127.0360313,
송하정스시,서울특별시 강동구 상일로 39-8,무료,,N,010-7104-9482,37.5506738,127.172262,
송추가마골 인 어반 잠실점,서울특별시 송파구 송파대로 570 타워730 지하 1층,무료,,N,02-422-6446,37.5159393,127.0987997,
밥상한우,인천광역시 부평구 경원대로 1254 밥상한우,무료,,N,032-507-9615,37.4885762,126.7094853,
양파이,서울특별시 중구 남대문로1길 43 1층 양파이 시청점,무료,,N,02-794-1105,37.5630492,126.9772307,
제멜리,서울특별시 서초구 강남대로101길 39,무료,,N,02-511-4553,37.5174328,127.0175092,
쿡파스타,서울특별시 관악구 보라매로3길 29 지하1층 32호,무료,,N,031-901-3311,37.4912119,126.9250002,
고우가,서울특별시 중구 세종대로 136 광화문역 SFC몰 지하2층 205호 고우가 광화문점,무료,,N,,37.5684246,126.9782701,
타볼라,경기도 용인시 수지구 성복1로291번길 14-1 1층,무료,,N,010-8795-5082,37.3238045,127.0540951,
팔로피자,서울특별시 마포구 양화로6길 9-20 카메오빌딩,무료,1,N,02-324-8588,37.5498886,126.9156166,
돼지통,서울특별시 강남구 테헤란로19길 29 1층 돼지통,무료,,N,02-486-0101,37.5018869,127.0329153,
한조면옥,경기도 포천시 호병골1길 9,무료,,N,031-531-0511,37.8986286,127.1895972,
세광양대창 분당수내점,경기도 성남시 분당구 황새울로258번길 32 2층 203호， 204호 세광양대창 분당수내점,무료,,N,,37.3794825,127.1161782,
미친등심,대전광역시 유성구 문화원로 149 1층， 2층 하이엔드 미친등심,무료,,N,042-826-2428,36.3583443,127.3522063,
국고집,서울특별시 강남구 선릉로86길 30,무료,,N,02-575-8894,37.5036843,127.0522422,
옥토스,서울특별시 서초구 사평대로52길 11 1층,무료,,N,02-599-6789,37.5027066,127.0225869,
한우강자,경기도 용인시 수지구 성복2로 108-2 웰스톤겔러리 1층 113호,무료,,N,031-261-7200,37.3158271,127.0744205,
풍미,서울특별시 용산구 후암로 73 2층 풍미식당,무료,,N,031-272-0770,37.5524001,126.97652,
투뿔등심 여의도점,서울특별시 영등포구 국제금융로2길 24 BNK금융타워 B1층,무료,,N,02-2088-3041,37.5242552,126.9248796,
창고43 청담점,서울특별시 강남구 도산대로 421 JS빌딩 1，2층,무료,,N,02-515-3343,37.5238594,127.04199,
우뚝소곱창,서울특별시 동대문구 장한로23길 21 1층,무료,,N,,37.5713554,127.0694575,
토가라시,서울특별시 강남구 학동로25길 14 1층,무료,,N,02-515-5799,37.5145849,127.0289733,
거대갈비,부산광역시 해운대구 달맞이길 22,무료,,N,051-746-0037,35.161618,129.166969,
최연탄,서울특별시 마포구 새창로 20,무료,,N,02-712-3082,37.5419379,126.9520615,
풍천장어마을즉석숯불구이,서울특별시 송파구 송파대로 54 풍천장어마을,무료,,N,02-402-0092,37.4752221,127.1282626,
고깃느루 구월직영점,인천광역시 남동구 예술로192번길 25,무료,,N,032-422-0997,37.4514343,126.7028883,
맨션나인,서울특별시 강남구 테헤란로34길 21-8 금정빌딩 1층,무료,,N,070-4110-2920,37.5002422,127.0413264,
육목원,서울특별시 강남구 강남대로 328 2층 (강남역 쉐르빌),무료,,N,02-587-7123,37.4924077,127.0307149,
지우갈비,서울특별시 중구 퇴계로18길 20,무료,,N,02-777-2171,37.5600574,126.9852524,
용평회관,강원특별자치도 평창군 대관령면 횡계2길 15,무료,,N,033-335-5217,37.6735513,128.709125,
하누담,경기도 수원시 영통구 청명남로34번길 21 테라스가든 상가 2층 하누담,무료,,N,,37.2521013,127.0770708,
포도식당,경기도 김포시 양촌읍 김포대로 1770 상가건물 1층 109호,무료,2,N,02-514-9252,37.670693,126.6438099,
리에또,서울특별시 용산구 청파로47나길 13,무료,,N,02-581-5291,37.5455843,126.9668104,
식당입니다,인천광역시 미추홀구 경인로 228 1층,무료,,N,055-604-2597,37.4641607,126.6676001,
스시언,경기도 성남시 분당구 정자일로213번길 18 성원상떼뷰 리젠시 201동 102호,무료,,N,031-712-9069,37.3703254,127.1055794,
프랑스백반,서울특별시 중구 새문안로 32,무료,,N,010-8846-6604,37.5679288,126.9692398,
차알 판교점,경기도 성남시 분당구 동판교로177번길 25 2층 214， 215호(아브뉴프랑),무료,,N,031-701-7679,37.3968125,127.113767,
하모네꼬,서울특별시 마포구 성미산로15길 58-19 지1층，1층,무료,,N,,37.5641352,126.9173198,
동신참치,서울특별시 마포구 마포대로 143 지하 B103，B104，B105호,무료,,N,031-8003-0004,37.5473219,126.9530641,
고래와참치,대구광역시 수성구 범어천로 17,무료,,N,053-763-3154,35.848527,128.6232335,
카루소,경기도 양주시 장흥면 일영로 403,무료,,N,010-2507-2806,37.679988,126.9226831,
한남북엇국,서울특별시 종로구 인사동길 49,무료,,N,02-2297-1988,37.5744296,126.9835484,
쇼긴,서울특별시 강남구 논현로95길 14,무료,,N,02-566-8999,37.5023068,127.034676,
창고43 본점,서울특별시 영등포구 국제금융로6길 33 여의도백화점 m1층,무료,,N,02-783-4557,37.5207575,126.9269566,
청평돌짜장,경기도 가평군 청평면 북한강로 2040 청평돌짜장,무료,,N,031-585-3812,37.698388,127.3937982,
영등포꽃삼,서울특별시 영등포구 영중로4길 6 1층 영등포꽃삼,무료,,N,02-2678-8988,37.5171088,126.9070373,
루스트플레이스 외도점,제주특별자치도 제주시 우정로 80,무료,,N,064-748-9008,33.4856154,126.4306834,
교대수산,서울특별시 서초구 사임당로 85 롯데빌리지상가1층교대수산,무료,,N,02-597-1771,37.4898296,127.0189686,
도티누리,경기도 화성시 동탄오산로 86-7 1층 도티누리,무료,,N,031-376-7080,37.1979136,127.0975975,
욜로양꼬치,경기도 광명시 새터로 57 1층 욜로양꼬치앤마라탕,무료,,N,031-296-0730,37.4732467,126.8543409,
화양리정육식당,서울특별시 광진구 군자로 65 1층,무료,,N,010-7282-3209,37.5491529,127.0706175,
진1926 판교점,경기도 성남시 분당구 판교역로192번길 22 1층 101호 진1926,무료,,N,031-707-0292,37.3981483,127.112167,
종수가,서울특별시 용산구 독서당로 73 1층 5호,무료,,N,02-790-5542,37.5342707,127.0086313,
아시안테이블(Asian Table),서울특별시 종로구 성균관로3길 11 아시안테이블,무료,,N,02-415-7720,37.583457,126.9975107,
후발대,서울특별시 송파구 올림픽로12길 4-23 1층,무료,,N,051-802-5847,37.5111449,127.0816449,
스몰피쉬,대전광역시 서구 관저중로96번길 84 101호,무료,,N,042-533-2341,36.3000399,127.33954,
한맛,경기도 안양시 동안구 갈산로44번길 62,무료,,N,031-459-2959,37.3783088,126.9615112,
한암동 여의도점,서울특별시 영등포구 국제금융로2길 32 4층 401호,무료,,N,,37.5238818,126.924138,
회사랑방,경기도 성남시 분당구 돌마로486번길 12 효자촌 현대근린상가 지층 회사랑방,무료,,N,031-703-0162,37.3765632,127.1339906,
숙성시대,서울특별시 송파구 올림픽로 300 롯데월드몰 5층,무료,,N,02-598-9556,37.5133578,127.1035825,
문래그집,서울특별시 영등포구 선유로22길 3 1층 문래그집,무료,,N,070-4292-0090,37.5215653,126.8903942,
심야식당,서울특별시 강서구 마곡중앙로 161-1 롯데캐슬파크 226호,무료,,N,02-571-1056,37.5677764,126.8276315,
하이꼬꼬 권선동점,경기도 수원시 권선구 권선로699번길 8,무료,,N,031-236-8886,37.2594222,127.0281719,
영산포홍어,서울특별시 중구 퇴계로 427-1,무료,,N,02-576-7122,37.5658551,127.0191175,
태양정육식당,서울특별시 영등포구 문래로 92-3,무료,,N,02-2068-9112,37.519018,126.8923201,
으나수키친,부산광역시 해운대구 우동1로38번길 14-5 1F,무료,,N,010-7757-0711,35.1652842,129.1584946,
실비수산,경상북도 포항시 북구 죽도시장13길 14,무료,,N,031-711-0916,36.036504,129.36856,
도반,서울특별시 종로구 새문안로5가길 33 한누리빌딩 1층,무료,,N,02-1644-1803,37.5749258,126.9728772,
육정가,강원특별자치도 영월군 영월읍 봉래산로 95-1,무료,,N,033-375-7108,37.191322,128.4736601,
강남목장,서울특별시 강남구 논현로86길 34 역삼포커스빌딩,무료,,N,02-562-7003,37.500466,127.0402739,
파노파니,전북특별자치도 익산시 무왕로 861 파노파니 레스토랑,무료,,N,063-853-5533,35.9652053,126.9547148,
모도우,서울특별시 종로구 율곡로 6 트윈트리타워 B동 M층,무료,,N,02-6016-6916,37.5754402,126.9797454,
JJ165로스터스,부산광역시 강서구 낙동남로 648 케이엔비즈 빌딩 1층 JJ165 ROASTERS,무료,,N,051-959-1200,35.1161995,128.8887514,
부전한돈,서울특별시 강남구 일원로9길 46 1층 부전한돈,무료,,N,02-459-1092,37.4903481,127.0852696,
장어세상,서울특별시 중구 다산로 109 1층 장어세상,무료,,N,02-2234-6007,37.5537824,127.0097732,
언양생고기,서울특별시 용산구 대사관로30길 6 언양생고기,무료,,N,02-795-5618,37.5329946,127.0054921,
백수농원,부산광역시 수영구 수영로680번길 45 1층,무료,,N,051-761-0109,35.1661855,129.1176839,
돈슐랭,서울특별시 성동구 행당로17길 1-45,무료,,N,02-2294-6660,37.558713,127.0331793,
칠공강호 양꼬치,경기도 수원시 팔달구 갓매산로 69-1 칠공강호 양꼬치,무료,,N,031-252-2732,37.2697873,127.0031107,
못토철판요리,경기도 수원시 영통구 센트럴파크로127번길 97-1,무료,,N,010-7376-7888,37.2941252,127.0524703,
우마이,서울특별시 서대문구 연세로5가길 19 2층 교토우마이,무료,,N,031-8003-0883,37.5571939,126.9355561,
우생한우,서울특별시 강남구 강남대로112길 35,무료,,N,02-546-9233,37.5060699,127.0272286,
뚝심한우 여의도점,서울특별시 영등포구 국제금융로6길 26 한국노총회관 2층,무료,,N,02-6277-2800,37.5218297,126.9270513,
알바노,충청남도 논산시 가야곡면 산노1길 79-12,무료,,N,041-741-0888,36.1697377,127.1788144,
